crop,predicted_yield,Modal_x0020_Price,expected_revenue
type_Maize,42.904292524649975,2130.0,91386.14307750444
type_Maize,42.904292524649975,2290.0,98250.82988144844
type_Maize,42.904292524649975,2750.0,117986.80444278743
type_Maize,42.904292524649975,2250.0,96534.65818046244
type_Maize,42.904292524649975,3000.0,128712.87757394993
type_Maize,42.904292524649975,3000.0,128712.87757394993
type_Maize,42.904292524649975,2600.0,111551.16056408994
type_Maize,42.904292524649975,1964.0,84264.03051841255
type_Maize,42.904292524649975,2500.0,107260.73131162494
type_Maize,42.904292524649975,2400.0,102970.30205915993
type_Maize,42.904292524649975,1580.0,67788.78218894696
type_Maize,42.904292524649975,1680.0,72079.21144141196
type_Maize,42.904292524649975,1875.0,80445.5484837187
type_Maize,42.904292524649975,1924.0,82547.85881742655
type_Maize,42.904292524649975,2000.0,85808.58504929995
type_Maize,42.904292524649975,2420.0,103828.38790965294
type_Maize,42.904292524649975,4750.0,203795.3894920874
type_Maize,42.904292524649975,2200.0,94389.44355422995
type_Maize,42.904292524649975,2200.0,94389.44355422995
type_Maize,42.904292524649975,2500.0,107260.73131162494
type_Maize,42.904292524649975,2250.0,96534.65818046244
type_Maize,42.904292524649975,2250.0,96534.65818046244
type_Maize,42.904292524649975,3750.0,160891.0969674374
type_Maize,42.904292524649975,3000.0,128712.87757394993
type_Maize,42.904292524649975,3750.0,160891.0969674374
type_Maize,42.904292524649975,1330.0,57062.709057784465
type_Maize,42.904292524649975,2250.0,96534.65818046244
type_Maize,42.904292524649975,1500.0,64356.43878697496
type_Maize,42.904292524649975,2100.0,90099.01430176495
type_Maize,42.904292524649975,1608.0,68990.10237963716
type_Maize,42.904292524649975,2750.0,117986.80444278743
type_Maize,42.904292524649975,2300.0,98679.87280669494
type_Maize,42.904292524649975,1900.0,81518.15579683495
type_Maize,42.904292524649975,1900.0,81518.15579683495
type_Maize,42.904292524649975,3750.0,160891.0969674374
type_Maize,42.904292524649975,2250.0,96534.65818046244
type_Maize,42.904292524649975,1250.0,53630.36565581247
type_Maize,42.904292524649975,2605.0,111765.68202671318
type_Maize,42.904292524649975,2000.0,85808.58504929995
type_Maize,42.904292524649975,1850.0,79372.94117060245
type_Maize,42.904292524649975,2021.0,86709.5751923176
type_Maize,42.904292524649975,1575.0,67574.26072632372
type_Maize,42.904292524649975,2400.0,102970.30205915993
type_Maize,42.904292524649975,1965.0,84306.93481093721
type_Maize,42.904292524649975,2200.0,94389.44355422995
type_Maize,42.904292524649975,3800.0,163036.3115936699
type_Maize,42.904292524649975,2750.0,117986.80444278743
type_Maize,42.904292524649975,2750.0,117986.80444278743
type_Maize,42.904292524649975,2750.0,117986.80444278743
type_Maize,42.904292524649975,2250.0,96534.65818046244
type_Maize,42.904292524649975,3000.0,128712.87757394993
type_Maize,42.904292524649975,3750.0,160891.0969674374
type_Maize,42.904292524649975,3250.0,139438.95070511242
type_Maize,42.904292524649975,3000.0,128712.87757394993
type_Maize,42.904292524649975,1900.0,81518.15579683495
type_Maize,42.904292524649975,1600.0,68646.86803943996
type_Maize,42.904292524649975,3800.0,163036.3115936699
type_Maize,42.904292524649975,3000.0,128712.87757394993
type_Maize,42.904292524649975,2460.0,105544.55961063894
type_Maize,42.904292524649975,2200.0,94389.44355422995
type_Maize,42.904292524649975,1600.0,68646.86803943996
type_Maize,42.904292524649975,2750.0,117986.80444278743
type_Maize,42.904292524649975,2750.0,117986.80444278743
type_Maize,42.904292524649975,2750.0,117986.80444278743
type_Maize,42.904292524649975,1550.0,66501.65341320746
type_Maize,42.904292524649975,1600.0,68646.86803943996
type_Maize,42.904292524649975,1650.0,70792.08266567245
type_Maize,42.904292524649975,2050.0,87953.79967553244
type_Ragi,36.25506795084998,5300.0,192151.8601395049
